striker,n_balls_mi,mean_P_j,mean_RPB,mean_BoundaryRate,mean_DismissalRate,NCBPI,confidence,CWBPI,CWBPI_normalized
D Salunkhe,3,0.5,2.0,0.3333333333333333,0.3333333333333333,1.0,0.0059642147117296,0.8717000323639558,0.8293122040470728
Mohammad Nabi,26,0.5,1.5384615384615383,0.3076923076923077,0.0769230769230769,0.8846153846153846,0.0494296577946768,0.8716066849411973,0.8292233957941926
CRD Fernando,2,1.0,1.0,0.0,0.0,1.0,0.0039840637450199,0.8714444547391828,0.8290690542989526
KK Cooper,2,0.5,2.0,0.5,0.5,1.0,0.0039840637450199,0.8714444547391828,0.8290690542989526
Yash Dayal,1,1.0,1.0,0.0,0.0,1.0,0.0019960079840319,0.8711878568444507,0.8288249338931555
Harbhajan Singh,55,0.6272727272727273,1.2181818181818185,0.2,0.0909090909090909,0.8727272727272727,0.0990990990990991,0.8711083176199456,0.8287492623924861
SR Tendulkar,124,0.6975806451612904,1.1612903225806452,0.1935483870967742,0.0483870967741935,0.8709677419354839,0.1987179487179487,0.8709376863446632,0.828586928339796
RG Sharma,430,0.7104651162790697,1.1093023255813954,0.1348837209302325,0.0651162790697674,0.8709302325581395,0.4623655913978494,0.8709302325581394,0.8285798370057349
Iqbal Abdulla,27,0.5370370370370371,1.3703703703703705,0.1851851851851851,0.0,0.8703703703703703,0.0512333965844402,0.8709015489166408,0.8285525481528404
ER Dwivedi,15,0.5,1.6,0.2666666666666666,0.1333333333333333,0.8666666666666667,0.029126213592233,0.87080605102732,0.8284616940033233
KH Pandya,127,0.7401574803149606,1.15748031496063,0.1338582677165354,0.0787401574803149,0.8700787401574803,0.2025518341307815,0.8707577612106376,0.8284157523573223
GD McGrath,3,0.5,1.3333333333333333,0.3333333333333333,0.0,0.8333333333333334,0.0059642147117296,0.8707059965786675,0.8283665048645645
SK Warne,10,0.95,0.9,0.1,0.2,0.85,0.0196078431372549,0.8705198358413132,0.8281893964950906
DL Chahar,6,0.5,1.6666666666666667,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.0118577075098814,0.8704844195238532,0.8281557023535264
Ankit Sharma,5,0.5,1.4,0.2,0.0,0.8,0.0099009900990099,0.8702279530278609,0.8279117069569921
Noor Ahmad,5,0.5,1.4,0.2,0.0,0.8,0.0099009900990099,0.8702279530278609,0.8279117069569921
